name,geometry,latitude,longitude
Magnus Diagnostic Lab,POINT (77.6305022 12.9349187),12.9349187,77.6305022
Krupa Medical center,POINT (77.5411664 13.000431),13.000431,77.5411664
Soukya Hospital,POINT (77.5587548 13.0774744),13.0774744,77.5587548
Greenview Medical Center,POINT (77.6381379 12.9191813),12.9191813,77.6381379
Vaidyaratnam Oushadhasala,POINT (77.6485848 12.9121004),12.9121004,77.6485848
Blossoms Hospital,POINT (77.6308237 12.9064393),12.9064393,77.6308237
Live100,POINT (77.6454925 12.8791713),12.8791713,77.6454925
ESi Hospital,POINT (77.6923101 13.0077936),13.0077936,77.6923101
Happy Tooth,POINT (77.5336479 12.9744193),12.9744193,77.5336479
Rishi Women and Child Clinic,POINT (77.532699 12.9745812),12.9745812,77.532699
Penta Care Ayurvedic Hospital,POINT (77.5369482 12.9736894),12.9736894,77.5369482
Shalini Nursing & MAternity Home,POINT (77.5419997 12.9436624),12.9436624,77.5419997
Shreya Poly Clinic,POINT (77.5394723 12.9729127),12.9729127,77.5394723
Anurag Medical Center,POINT (77.5271683 12.9612829),12.9612829,77.5271683
United Medical lab,POINT (77.6132902 13.0007683),13.0007683,77.6132902
Pragathi Ayurvedic Center,POINT (77.555666 12.9843701),12.9843701,77.555666
Narayana Hrudayalaya Dental Clinic,POINT (77.6728066 12.9231571),12.9231571,77.6728066
Vatsalya Chidren's Clinic,POINT (77.6109105 12.8948505),12.8948505,77.6109105
Kottakkal Arya Vaidya Sala,POINT (77.6271003 12.9002599),12.9002599,77.6271003
Sharavathi Hospitals (P) Ltd.,POINT (77.5342853 12.9623406),12.9623406,77.5342853
"Dr.Agarwal's Eye Hospital Ltd, Padmanabha Nagar",POINT (77.5592568 12.9169288),12.9169288,77.5592568
Shraddha Eye Care,POINT (77.5555842 12.9184617),12.9184617,77.5555842
,POINT (77.7649169 12.9964249),12.9964249,77.7649169
"Vasan Eye Care Hospital, Rajarajeswari Nagar",POINT (77.5154779 12.931334),12.931334,77.5154779
Cloud Nine Fertility,POINT (77.5858347 12.9055088),12.9055088,77.5858347
Aikya Healthcare,POINT (77.5466715 12.8827229),12.8827229,77.5466715
Konanakunte Government Hospital,POINT (77.5664029 12.8840897),12.8840897,77.5664029
S T Bed Park at 5th Cross,POINT (77.6317632 12.9342822),12.9342822,77.6317632
S T Bed Park and Field at 8th Cross,POINT (77.6329291 12.9330379),12.9330379,77.6329291
Cloud Nine Hospital,POINT (77.7319773 12.9878709),12.9878709,77.7319773
Telerad Rx Dx Health Care Whitefield,POINT (77.7103746 12.9768424),12.9768424,77.7103746
Motherhood Hospital(Unit Of Rhea Healthcare Pvt Ltd),POINT (77.6375845 12.9784409),12.9784409,77.6375845
Respiratory and womens health clinic.,POINT (77.6376528 12.9762645),12.9762645,77.6376528
Rashmi Hospital,POINT (77.6362278 12.9766951),12.9766951,77.6362278
Netradama Eye Hospital,POINT (77.6357281 12.9734836),12.9734836,77.6357281
Sree Venkateshwara Speciality Hospital,POINT (77.6025303 12.9425246),12.9425246,77.6025303
Leela Hospital and Diagnostic Center,POINT (77.5694894 13.0002667),13.0002667,77.5694894
Dr. Rajkumar Blood Bank,POINT (77.5878222 12.968031),12.968031,77.5878222
,POINT (77.6634324 12.9950723),12.9950723,77.6634324
Nelivigi Eye Hospital,POINT (77.6737518 12.9241818),12.9241818,77.6737518
Sanghi Medical Centre (P) Ltd,POINT (77.6994832 12.9517397),12.9517397,77.6994832
"Sri Sai Krupa Hospital, Bengaluru Urban",POINT (77.5593857 13.0294181),13.0294181,77.5593857
ALDOS Medical Service Pvt LTD,POINT (77.6381036 12.9826672),12.9826672,77.6381036
Shri M Hamid Ansari - Planted Tree,POINT (77.5636598 13.0292739),13.0292739,77.5636598
Government Hospital,POINT (77.603414 12.8870605),12.8870605,77.603414
Rajashree Granthim hospital,POINT (77.602422 12.8893134),12.8893134,77.602422
Krishna Nursing Home,POINT (77.5986921 12.9474222),12.9474222,77.5986921
"Shifa Hospital, Bengaluru Urban",POINT (77.5988107 12.9900105),12.9900105,77.5988107
Milann Fertility Center,POINT (77.5856011 12.9159249),12.9159249,77.5856011
Gift IVF center,POINT (77.6418711 12.962951),12.962951,77.6418711
HCG Cancer Hospital,POINT (77.5930493 12.9603157),12.9603157,77.5930493
Health Care Global,POINT (77.5919279 12.9584755),12.9584755,77.5919279
Gulecha Dental Care,POINT (77.5893625 12.9292418),12.9292418,77.5893625
,POINT (77.5424167 12.9767055),12.9767055,77.5424167
Rajbal Skin Clinic,POINT (77.6445361 13.0206063),13.0206063,77.6445361
Prashanth Hospital,POINT (77.6287463 12.9066637),12.9066637,77.6287463
Dianova Diabetes Center and Hospital,POINT (77.6335463 13.0147612),13.0147612,77.6335463
Ameena Medical centre,POINT (77.6323407 12.9777082),12.9777082,77.6323407
Dr.Agarwal Eye & Dental Hospital,POINT (77.6362439 12.9700356),12.9700356,77.6362439
SRL Diagnostics,POINT (77.7160447 12.9599306),12.9599306,77.7160447
Dr Raos Maternity Hospital,POINT (77.5460481 12.9850421),12.9850421,77.5460481
Sagar Chandramma Hospitals,POINT (77.5748248 12.9485535),12.9485535,77.5748248
Trilife Hospital,POINT (77.6432959 13.0169826),13.0169826,77.6432959
